InvoiceNo,InvoiceDate,CustomerID,Country,Quantity,UnitPrice
536404,12/1/2010 11:29,16218,United Kingdom,438,1.1696
536405,12/1/2010 11:32,14045,United Kingdom,128,2.55
536406,12/1/2010 11:33,17850,United Kingdom,96,5.2271
536407,12/1/2010 11:34,17850,United Kingdom,12,1.85
536408,12/1/2010 11:41,14307,United Kingdom,558,2.4031
536409,12/1/2010 11:45,17908,United Kingdom,173,2.6726
536412,12/1/2010 11:49,17920,United Kingdom,220,2.7878
536414,12/1/2010 11:52,(blank),United Kingdom,56,0
536415,12/1/2010 11:57,12838,United Kingdom,228,1.9734
536416,12/1/2010 11:58,13255,United Kingdom,110,4.55
536420,12/1/2010 12:03,16583,United Kingdom,111,2.5643
536423,12/1/2010 12:08,18085,United Kingdom,78,3.8444
536425,12/1/2010 12:08,13758,United Kingdom,137,3.6206
536437,12/1/2010 12:12,13694,United Kingdom,1004,1.7633
536446,12/1/2010 12:15,15983,United Kingdom,329,1.8791
536460,12/1/2010 12:22,14849,United Kingdom,158,3.5486
536463,12/1/2010 12:22,14849,United Kingdom,12,1.45
536464,12/1/2010 12:23,17968,United Kingdom,160,1.9292
536466,12/1/2010 12:23,14849,United Kingdom,18,2.85
536477,12/1/2010 12:27,16210,United Kingdom,1070,2.5886
536488,12/1/2010 12:31,17897,United Kingdom,72,2.7077
536500,12/1/2010 12:35,17377,United Kingdom,102,2.8133
536502,12/1/2010 12:36,16552,United Kingdom,39,4.638
536508,12/1/2010 12:38,17181,United Kingdom,216,0.805
536514,12/1/2010 12:40,17951,United Kingdom,118,4.4
536520,12/1/2010 12:43,14729,United Kingdom,197,2.1592
536521,12/1/2010 12:48,12748,United Kingdom,1,4.95
536522,12/1/2010 12:49,15012,United Kingdom,86,2.7072
536523,12/1/2010 12:50,12868,United Kingdom,112,3.1708
536524,12/1/2010 12:51,17572,United Kingdom,24,2.95
536525,12/1/2010 12:54,14078,United Kingdom,29,3.49
536526,12/1/2010 12:58,14001,United Kingdom,94,4.4156
536527,12/1/2010 13:04,12662,Germany,157,2.958
536528,12/1/2010 13:17,15525,United Kingdom,124,3.3467
536529,12/1/2010 13:20,14237,United Kingdom,38,7.1222
536530,12/1/2010 13:21,17905,United Kingdom,72,4.7783
536531,12/1/2010 13:23,15485,United Kingdom,416,4.0178
536532,12/1/2010 13:24,12433,Norway,1852,1.4064
536533,12/1/2010 13:31,16955,United Kingdom,80,6.675
536534,12/1/2010 13:33,15350,United Kingdom,51,2.67
536535,12/1/2010 13:38,15605,United Kingdom,71,4.85
536536,12/1/2010 13:45,18144,United Kingdom,95,2.63
536537,12/1/2010 13:51,15922,United Kingdom,138,4.4091
536538,12/1/2010 13:54,14594,United Kingdom,146,3.0087
536539,12/1/2010 14:03,15165,United Kingdom,160,4.987
536540,12/1/2010 14:05,14911,EIRE,231,6.6195
536541,12/1/2010 14:05,14911,EIRE,12,1.25
536542,12/1/2010 14:11,16456,United Kingdom,392,1.9656
536544,12/1/2010 14:32,(blank),United Kingdom,1208,5.6693
536545,12/1/2010 14:32,(blank),United Kingdom,1,0
536546,12/1/2010 14:33,(blank),United Kingdom,1,0
536547,12/1/2010 14:33,(blank),United Kingdom,1,0
536549,12/1/2010 14:34,(blank),United Kingdom,1,0
536550,12/1/2010 14:34,(blank),United Kingdom,1,0
536551,12/1/2010 14:34,17346,United Kingdom,88,2.2509
536552,12/1/2010 14:34,(blank),United Kingdom,1,0
536553,12/1/2010 14:35,(blank),United Kingdom,3,0
536554,12/1/2010 14:35,(blank),United Kingdom,23,0
536555,12/1/2010 14:37,(blank),United Kingdom,2,1.485
536556,12/1/2010 14:38,17643,United Kingdom,71,4.0188
536557,12/1/2010 14:41,17841,United Kingdom,199,3.8722
536558,12/1/2010 14:48,(blank),United Kingdom,5,19.95
536559,12/1/2010 14:54,17873,United Kingdom,129,2.0167
536560,12/1/2010 15:00,13093,United Kingdom,256,5.1808
536561,12/1/2010 15:06,12921,United Kingdom,140,2.4833
536562,12/1/2010 15:08,13468,United Kingdom,99,5.0167
536563,12/1/2010 15:08,17760,United Kingdom,165,2.6244
536564,12/1/2010 15:08,13468,United Kingdom,12,5.7
536565,12/1/2010 15:15,(blank),United Kingdom,2,3.35
536566,12/1/2010 15:21,16928,United Kingdom,93,1.25
536567,12/1/2010 15:27,16048,United Kingdom,132,1.7929
536568,12/1/2010 15:28,16048,United Kingdom,12,0.42
536569,12/1/2010 15:35,16274,United Kingdom,155,4.2776
536570,12/1/2010 15:35,14496,United Kingdom,86,5.358
536571,12/1/2010 15:37,14696,United Kingdom,284,2.3217
536572,12/1/2010 15:40,16539,United Kingdom,301,2.4071
536573,12/1/2010 15:45,17025,United Kingdom,136,0.9775
536574,12/1/2010 15:46,17025,United Kingdom,3,5.95
536575,12/1/2010 16:01,13777,United Kingdom,858,2.0988
536576,12/1/2010 16:11,13777,United Kingdom,1122,2.3063
536577,12/1/2010 16:13,13777,United Kingdom,388,1.3
536578,12/1/2010 16:15,17690,United Kingdom,104,3.2063
536579,12/1/2010 16:16,13777,United Kingdom,276,1.255
536580,12/1/2010 16:17,17690,United Kingdom,66,1.525
536581,12/1/2010 16:19,13777,United Kingdom,200,1.65
536582,12/1/2010 16:21,12947,United Kingdom,184,2.9606
536583,12/1/2010 16:21,13777,United Kingdom,120,1.65
536584,12/1/2010 16:22,13777,United Kingdom,384,2.95
536585,12/1/2010 16:24,17460,United Kingdom,2,9.95
536586,12/1/2010 16:25,18229,United Kingdom,44,6.95
536587,12/1/2010 16:33,14142,United Kingdom,313,1.7705
536588,12/1/2010 16:49,17069,United Kingdom,103,3.2955
536589,12/1/2010 16:50,(blank),United Kingdom,-10,0
536590,12/1/2010 16:52,13065,United Kingdom,74,5.2221
536591,12/1/2010 16:57,14606,United Kingdom,81,2.7826
536591,12/1/2010 16:58,14606,United Kingdom,12,3.89
536592,12/1/2010 17:06,(blank),United Kingdom,1478,6.1019
536593,12/1/2010 17:15,16835,United Kingdom,19,5.34
536594,12/1/2010 17:22,15235,United Kingdom,34,2.71
536595,12/1/2010 17:24,13576,United Kingdom,108,3.2764
536596,12/1/2010 17:29,(blank),United Kingdom,9,5.7233
536597,12/1/2010 17:35,18011,United Kingdom,71,2.3611
536598,12/2/2010 7:48,13090,United Kingdom,76,1.9
536599,12/2/2010 7:49,15694,United Kingdom,80,5.3583
536600,12/2/2010 8:32,17850,United Kingdom,56,6.5475
536601,12/2/2010 8:33,17850,United Kingdom,12,1.85
536602,12/2/2010 8:34,17850,United Kingdom,64,2.955
536603,12/2/2010 8:40,17850,United Kingdom,12,1.85
536604,12/2/2010 8:43,14741,United Kingdom,114,1.7944
536605,12/2/2010 8:52,13715,United Kingdom,107,3.32
536607,12/2/2010 9:29,17732,United Kingdom,93,4.9494
536608,12/2/2010 9:37,12855,United Kingdom,30,1.55
536609,12/2/2010 9:41,17850,United Kingdom,88,3.1131
536610,12/2/2010 9:42,17850,United Kingdom,12,1.85
536611,12/2/2010 9:43,15752,United Kingdom,153,1.8857
536612,12/2/2010 9:44,17850,United Kingdom,82,2.8107
536613,12/2/2010 9:44,17855,United Kingdom,197,1.7659
536614,12/2/2010 9:44,17850,United Kingdom,12,1.85
536615,12/2/2010 10:09,14047,United Kingdom,108,5.6658
536616,12/2/2010 10:10,17925,United Kingdom,72,3.39
536617,12/2/2010 10:17,13941,United Kingdom,644,2.1336
536618,12/2/2010 10:17,17017,United Kingdom,600,1.4338
536619,12/2/2010 10:18,17017,United Kingdom,48,2.6
536620,12/2/2010 10:27,14135,United Kingdom,741,1.26
536621,12/2/2010 10:35,13108,United Kingdom,298,1.752
536623,12/2/2010 10:39,15601,United Kingdom,666,1.7192
536624,12/2/2010 10:45,13418,United Kingdom,228,3.4518
536626,12/2/2010 10:46,13418,United Kingdom,6,2.1
536627,12/2/2010 10:53,15658,United Kingdom,64,7.1929
536628,12/2/2010 10:54,17850,United Kingdom,86,3.1131
536629,12/2/2010 10:55,17850,United Kingdom,12,1.85
536630,12/2/2010 10:56,17850,United Kingdom,88,3.1131
536631,12/2/2010 10:58,17850,United Kingdom,12,1.85
536632,12/2/2010 11:02,14388,United Kingdom,170,3.0095
536633,12/2/2010 11:20,14901,United Kingdom,105,2.5167
536634,12/2/2010 11:21,18041,United Kingdom,159,2.0457
536635,12/2/2010 11:22,15955,United Kingdom,246,2.9455
536636,12/2/2010 11:23,15070,United Kingdom,36,2.95
536637,12/2/2010 11:35,18041,United Kingdom,165,1.9363
536638,12/2/2010 11:41,16244,United Kingdom,619,2.6332
536639,12/2/2010 11:45,15111,United Kingdom,106,4.05
536640,12/2/2010 11:45,(blank),United Kingdom,11,4.1682
536641,12/2/2010 11:46,12748,United Kingdom,1,4.25
536643,12/2/2010 11:57,14390,United Kingdom,74,3.2574
536663,12/2/2010 12:07,16546,United Kingdom,156,1.8417
536667,12/2/2010 12:09,15260,United Kingdom,214,3.1813
536670,12/2/2010 12:09,15260,United Kingdom,40,1.45
536671,12/2/2010 12:10,13305,United Kingdom,132,1.09
536672,12/2/2010 12:10,14491,United Kingdom,40,4.15
536673,12/2/2010 12:11,14060,United Kingdom,504,0.7388
536674,12/2/2010 12:16,15923,United Kingdom,122,2.8148
536676,12/2/2010 12:18,16752,United Kingdom,54,13.5944
536681,12/2/2010 12:22,17287,United Kingdom,46,2.8108
536685,12/2/2010 12:23,17850,United Kingdom,108,5.0329
536688,12/2/2010 12:24,17850,United Kingdom,12,1.85
536690,12/2/2010 12:25,17850,United Kingdom,92,5.0329
536693,12/2/2010 12:26,17850,United Kingdom,12,1.85
536698,12/2/2010 12:28,15363,United Kingdom,144,2.9875
536707,12/2/2010 12:33,12915,United Kingdom,41,7.6923
536732,12/2/2010 12:47,15544,United Kingdom,274,1.9531
536733,12/2/2010 12:50,15738,United Kingdom,255,1.8464
536735,12/2/2010 12:58,17381,United Kingdom,128,1.65
536736,12/2/2010 12:59,17381,United Kingdom,1296,0.828
536738,12/2/2010 13:06,15827,United Kingdom,42,6.16
536739,12/2/2010 13:08,14180,United Kingdom,31,8.65
536740,12/2/2010 13:08,15827,United Kingdom,67,2.5571
536741,12/2/2010 13:11,13117,United Kingdom,130,1.7027
536742,12/2/2010 13:14,16916,United Kingdom,103,2.5418
536743,12/2/2010 13:32,17964,United Kingdom,195,3.5617
536744,12/2/2010 13:36,14466,United Kingdom,137,5.73
536745,12/2/2010 13:38,17235,United Kingdom,126,3.43
536746,12/2/2010 13:39,16510,United Kingdom,92,5.3462
536747,12/2/2010 13:44,17802,United Kingdom,75,1.535
536748,12/2/2010 13:45,15107,United Kingdom,26,6.6
536749,12/2/2010 13:49,17976,United Kingdom,106,3.532
536750,12/2/2010 14:04,17850,United Kingdom,118,5.0242
536751,12/2/2010 14:05,17850,United Kingdom,12,1.85
536752,12/2/2010 14:06,17850,United Kingdom,104,5.0242
536753,12/2/2010 14:07,17850,United Kingdom,12,1.85
536754,12/2/2010 14:09,14449,United Kingdom,142,1.7358
536755,12/2/2010 14:14,(blank),United Kingdom,15,3.6167
536756,12/2/2010 14:23,(blank),United Kingdom,23,3.35
536759,12/2/2010 14:26,16781,United Kingdom,113,5.0088
536761,12/2/2010 14:30,13491,United Kingdom,36,4.5571
536762,12/2/2010 14:40,16186,United Kingdom,231,1.923
536763,12/2/2010 14:42,17685,United Kingdom,331,1.5533
536764,12/2/2010 14:42,(blank),United Kingdom,-38,0
536765,12/2/2010 14:43,(blank),United Kingdom,19,0
536769,12/2/2010 14:47,17581,United Kingdom,375,2.5516
536771,12/2/2010 14:49,17581,United Kingdom,66,2.0129
536777,12/2/2010 15:00,15732,United Kingdom,97,1.844
536778,12/2/2010 15:03,13138,United Kingdom,125,2.7657
536779,12/2/2010 15:08,15823,United Kingdom,1,15
536780,12/2/2010 15:09,(blank),United Kingdom,4,3.2
536781,12/2/2010 15:14,17460,United Kingdom,24,2.1
536782,12/2/2010 15:18,17567,United Kingdom,244,3.5111
536783,12/2/2010 15:19,15061,United Kingdom,2909,1.7516
536784,12/2/2010 15:20,15061,United Kingdom,1330,1.8488
536785,12/2/2010 15:22,15061,United Kingdom,1008,2.935
536786,12/2/2010 15:23,15061,United Kingdom,144,2.75
536787,12/2/2010 15:24,17850,United Kingdom,76,2.7892
536788,12/2/2010 15:25,15061,United Kingdom,60,1.25
536789,12/2/2010 15:25,17850,United Kingdom,12,1.85
536790,12/2/2010 15:26,17850,United Kingdom,141,5.4794
536791,12/2/2010 15:27,17850,United Kingdom,24,1.85
536792,12/2/2010 15:28,15061,United Kingdom,24,1.25
536793,12/2/2010 15:39,16203,United Kingdom,70,3.0773
536794,12/2/2010 15:40,13767,United Kingdom,96,3.3875
536795,12/2/2010 15:40,15640,United Kingdom,180,1.8329
536796,12/2/2010 15:46,15574,United Kingdom,176,2.0965
536797,12/2/2010 15:49,16770,United Kingdom,56,2.65
536798,12/2/2010 15:55,17838,United Kingdom,472,2.5465
536799,12/2/2010 16:00,17228,United Kingdom,122,1.7278
536800,12/2/2010 16:12,14829,United Kingdom,190,1.8032
536801,12/2/2010 16:12,(blank),United Kingdom,134,2.625
536802,12/2/2010 16:29,17412,United Kingdom,50,4.7063
536803,12/2/2010 16:33,14911,EIRE,6,3.75
536804,12/2/2010 16:34,14031,United Kingdom,531,4.2264
536805,12/2/2010 16:38,14775,United Kingdom,384,1.1505
536806,12/2/2010 16:42,12971,United Kingdom,84,0.584
536808,12/2/2010 16:46,17659,United Kingdom,64,6.3083
536809,12/2/2010 16:48,15299,United Kingdom,1824,0.55
536810,12/2/2010 16:50,15299,United Kingdom,204,1.49
536811,12/2/2010 16:51,15299,United Kingdom,69,7.65
536813,12/2/2010 16:59,15646,United Kingdom,230,1.3912
536819,12/2/2010 17:12,13402,United Kingdom,190,2.7318
536821,12/2/2010 17:17,17757,United Kingdom,80,2.5087
536823,12/2/2010 17:22,13011,United Kingdom,13,4.2167
536824,12/2/2010 17:24,13798,United Kingdom,160,2.55
536830,12/2/2010 17:38,16754,United Kingdom,4280,0.62
536831,12/2/2010 17:40,16029,United Kingdom,260,3
536832,12/2/2010 17:41,16634,United Kingdom,64,4.7
536833,12/2/2010 17:48,18239,United Kingdom,208,3.3414
536834,12/2/2010 17:51,14576,United Kingdom,12,2.95
536835,12/2/2010 18:06,13145,United Kingdom,1,295
536836,12/2/2010 18:08,18168,United Kingdom,133,4.3107
536837,12/2/2010 18:15,14395,United Kingdom,174,2.9648
536838,12/2/2010 18:23,14865,United Kingdom,96,0.4533
536839,12/2/2010 18:25,15093,United Kingdom,879,1.3925
536840,12/2/2010 18:27,12738,Germany,148,3.95
536841,12/2/2010 18:27,16150,United Kingdom,174,3.3382
536842,12/2/2010 18:45,17552,United Kingdom,130,3.3718
536843,12/2/2010 18:46,17552,United Kingdom,14,5.6
536844,12/2/2010 18:49,14236,United Kingdom,38,5.55
536845,12/2/2010 19:18,17961,United Kingdom,45,3.6224
536846,12/2/2010 19:59,14573,United Kingdom,134,4.0092
536847,12/3/2010 9:31,17135,United Kingdom,222,1.21
536848,12/3/2010 9:39,13408,United Kingdom,280,1.95
536849,12/3/2010 9:45,17396,United Kingdom,106,3.75
536851,12/3/2010 9:49,12967,United Kingdom,360,7.2033
536852,12/3/2010 9:51,12686,France,107,3.2586
536856,12/3/2010 10:26,13370,United Kingdom,343,3.7279
536857,12/3/2010 10:33,16883,United Kingdom,54,3.6612
536858,12/3/2010 10:36,13520,Switzerland,110,9.2417
536859,12/3/2010 10:43,12841,United Kingdom,186,2.7404
536860,12/3/2010 10:43,16905,United Kingdom,108,3.947
536861,12/3/2010 10:44,12427,Germany,79,4.925
536862,12/3/2010 11:13,(blank),United Kingdom,150,10.8998
536863,12/3/2010 11:19,17967,United Kingdom,80,1.8798
536864,12/3/2010 11:27,(blank),United Kingdom,66,10.0328
536865,12/3/2010 11:28,(blank),United Kingdom,317,10.2516
536866,12/3/2010 11:28,(blank),United Kingdom,1,8.47
536874,12/3/2010 11:35,16891,United Kingdom,92,2.7514
536876,12/3/2010 11:36,(blank),United Kingdom,1641,6.1315
536883,12/3/2010 11:41,(blank),United Kingdom,13,0.42
536884,12/3/2010 11:42,14589,United Kingdom,5,7.95
536885,12/3/2010 11:42,(blank),EIRE,200,3.1
536890,12/3/2010 11:48,14156,EIRE,1548,0.62
536920,12/3/2010 12:01,(blank),United Kingdom,58,1.346
536938,12/3/2010 12:05,14680,United Kingdom,464,3.2886
536941,12/3/2010 12:08,(blank),United Kingdom,20,0
536942,12/3/2010 12:08,(blank),United Kingdom,15,0
536943,12/3/2010 12:11,17884,United Kingdom,170,1.9132
536944,12/3/2010 12:20,12557,Spain,400,1.57
536945,12/3/2010 12:24,14083,United Kingdom,179,2.8929
536946,12/3/2010 12:28,13013,United Kingdom,363,3.1124
536947,12/3/2010 12:29,13013,United Kingdom,439,2.8955
536954,12/3/2010 12:41,17809,United Kingdom,100,4.25
536956,12/3/2010 12:43,14210,United Kingdom,93,4.5
536957,12/3/2010 12:43,17809,United Kingdom,234,3.7423
536960,12/3/2010 12:48,16477,United Kingdom,125,2.55
536967,12/3/2010 12:57,12600,Germany,31,9.975
536968,12/3/2010 13:09,16013,United Kingdom,168,3.5
536969,12/3/2010 13:10,16013,United Kingdom,192,2.75
536970,12/3/2010 13:12,17949,United Kingdom,120,10.95
536971,12/3/2010 13:40,12779,Poland,140,2.3738
536972,12/3/2010 13:42,16926,United Kingdom,35,6.9786
536973,12/3/2010 13:43,17787,United Kingdom,356,3.5071
536974,12/3/2010 13:59,12682,France,132,4.1919
536975,12/3/2010 14:04,14911,EIRE,827,4.2648
536976,12/3/2010 14:18,14723,United Kingdom,76,1.9774
536977,12/3/2010 14:18,17954,United Kingdom,60,2.6386
536980,12/3/2010 14:26,17819,United Kingdom,239,2.4358
536981,12/3/2010 14:26,14723,United Kingdom,39,3.3688
536982,12/3/2010 14:27,(blank),United Kingdom,1834,5.8112
536983,12/3/2010 14:30,12712,Germany,60,5.1822
536984,12/3/2010 14:35,17841,United Kingdom,136,3.7017
536985,12/3/2010 14:40,15373,United Kingdom,42,9.3591
536986,12/3/2010 14:40,16140,United Kingdom,104,1.71
536987,12/3/2010 14:54,17198,United Kingdom,124,2.866
536988,12/3/2010 15:05,17238,United Kingdom,100,3.3232
536989,12/3/2010 15:10,17238,United Kingdom,26,4.4545
536990,12/3/2010 15:14,12793,Portugal,65,5.4857
536991,12/3/2010 15:16,(blank),United Kingdom,32,0.85
536992,12/3/2010 15:16,15769,United Kingdom,36,2.55
536993,12/3/2010 15:19,14396,United Kingdom,39,2.9985
536994,12/3/2010 15:25,14898,United Kingdom,18,8.2167
536995,12/3/2010 15:29,(blank),United Kingdom,57,0
536996,12/3/2010 15:30,(blank),United Kingdom,-20,0
536997,12/3/2010 15:30,(blank),United Kingdom,-20,0
536998,12/3/2010 15:30,(blank),United Kingdom,-6,0
536999,12/3/2010 15:32,(blank),United Kingdom,110,0
537000,12/3/2010 15:32,(blank),United Kingdom,-22,0
537001,12/3/2010 15:33,(blank),United Kingdom,-6,0
537002,12/3/2010 15:33,(blank),United Kingdom,70,0
537003,12/3/2010 15:33,(blank),United Kingdom,-2,0
537004,12/3/2010 15:34,(blank),United Kingdom,-30,0
537005,12/3/2010 15:35,(blank),United Kingdom,-70,0
537006,12/3/2010 15:36,(blank),United Kingdom,-130,0
537007,12/3/2010 15:36,(blank),United Kingdom,-80,0
537008,12/3/2010 15:37,(blank),United Kingdom,-120,0
537009,12/3/2010 15:38,(blank),United Kingdom,-80,0
537010,12/3/2010 15:38,(blank),United Kingdom,-40,0
537011,12/3/2010 15:38,(blank),United Kingdom,-5,0
537012,12/3/2010 15:39,(blank),United Kingdom,-12,0
537013,12/3/2010 15:40,(blank),United Kingdom,-25,0
537014,12/3/2010 15:40,(blank),United Kingdom,-20,0
537015,12/3/2010 15:41,(blank),United Kingdom,-14,0
537016,12/3/2010 15:41,(blank),United Kingdom,-15,0
537017,12/3/2010 15:41,(blank),United Kingdom,-69,0
537018,12/3/2010 15:42,(blank),United Kingdom,-3,0
537019,12/3/2010 15:43,(blank),United Kingdom,-15,0
537020,12/3/2010 15:43,(blank),United Kingdom,-30,0
537021,12/3/2010 15:43,(blank),United Kingdom,-20,0
537022,12/3/2010 15:45,12725,Italy,164,4.1042
537023,12/3/2010 16:02,16725,United Kingdom,64,3.2332
537025,12/3/2010 16:21,(blank),United Kingdom,48,3.896
537026,12/3/2010 16:35,12395,Belgium,528,3.1175
537027,12/3/2010 16:36,(blank),United Kingdom,-140,0
537028,12/3/2010 16:36,(blank),United Kingdom,-320,0
537029,12/3/2010 16:37,(blank),United Kingdom,-6,0
537030,12/3/2010 16:44,16455,United Kingdom,142,1.8923
537031,12/3/2010 16:45,16455,United Kingdom,108,1.25
537032,12/3/2010 16:50,(blank),United Kingdom,-30,0
537034,12/3/2010 17:20,13081,United Kingdom,1338,2.0974
537035,12/3/2010 17:21,13081,United Kingdom,8,1.45
537036,12/3/2010 17:28,15545,United Kingdom,75,2.9829
537037,12/5/2010 10:03,17243,United Kingdom,92,3.0727
537038,12/5/2010 10:12,15465,United Kingdom,125,6.15
537040,12/5/2010 10:27,13089,United Kingdom,192,6.2
537041,12/5/2010 10:36,16033,United Kingdom,52,3.1131
537042,12/5/2010 10:45,13838,United Kingdom,83,3.7708
537044,12/5/2010 10:52,18055,United Kingdom,93,6.0711
537045,12/5/2010 10:54,15038,United Kingdom,46,2.9894
537046,12/5/2010 10:58,18109,United Kingdom,55,4.8857
537047,12/5/2010 11:02,13069,United Kingdom,181,1.6805
537048,12/5/2010 11:03,13069,United Kingdom,2,2.95
537049,12/5/2010 11:04,16241,United Kingdom,97,3.9107
537050,12/5/2010 11:10,14800,United Kingdom,437,1.8676
537051,12/5/2010 11:12,15708,United Kingdom,158,3.871
537052,12/5/2010 11:15,16839,United Kingdom,232,3.974
537053,12/5/2010 11:38,16168,United Kingdom,124,4.6667
537054,12/5/2010 11:40,16931,United Kingdom,82,1.9744
537055,12/5/2010 11:45,16814,United Kingdom,107,3.3127
537057,12/5/2010 11:49,15351,United Kingdom,129,2.5841
537058,12/5/2010 11:51,13269,United Kingdom,197,3.3808
537059,12/5/2010 11:54,14813,United Kingdom,59,2.6017
537065,12/5/2010 11:57,12567,France,611,4.5586
537067,12/5/2010 11:57,14813,United Kingdom,8,3.725
537077,12/5/2010 11:59,17062,United Kingdom,163,2.1127
537081,12/5/2010 12:00,15332,Lithuania,442,2.9436
537086,12/5/2010 12:01,15332,Lithuania,168,2.8125
537090,12/5/2010 12:02,15332,Lithuania,12,1.25
537111,12/5/2010 12:08,14810,United Kingdom,84,2.9061
537117,12/5/2010 12:09,16353,United Kingdom,48,4.25
537126,12/5/2010 12:13,18118,United Kingdom,212,2.5442
537127,12/5/2010 12:13,13831,United Kingdom,160,2.55
537128,12/5/2010 12:15,12841,United Kingdom,135,2.7617
537129,12/5/2010 12:15,13506,United Kingdom,232,2.8347
537130,12/5/2010 12:23,17796,United Kingdom,28,4.2105
537131,12/5/2010 12:26,15716,United Kingdom,435,2.5
537133,12/5/2010 12:29,18156,United Kingdom,73,2.9816
537134,12/5/2010 12:34,16983,United Kingdom,107,2.4767
537135,12/5/2010 12:35,17059,United Kingdom,471,2.1336
537136,12/5/2010 12:42,12748,United Kingdom,152,2.2741
537137,12/5/2010 12:43,16327,United Kingdom,392,1.7638
537138,12/5/2010 12:44,17211,United Kingdom,204,2.0882
537139,12/5/2010 12:47,17026,United Kingdom,25,4.8167
537140,12/5/2010 12:53,12748,United Kingdom,54,1.5397
537141,12/5/2010 12:57,15570,United Kingdom,165,4.0034
537142,12/5/2010 12:57,12748,United Kingdom,16,2.5667
537144,12/5/2010 13:00,15880,United Kingdom,211,2.1702
537153,12/5/2010 13:03,16718,United Kingdom,413,2.3369
537154,12/5/2010 13:05,15808,United Kingdom,355,3.0953
537155,12/5/2010 13:05,12748,United Kingdom,66,1.4827
537156,12/5/2010 13:08,17858,United Kingdom,87,5.3553
537158,12/5/2010 13:10,16393,United Kingdom,86,2.155
537159,12/5/2010 13:17,14527,United Kingdom,60,5.3554
537160,12/5/2010 13:18,14161,United Kingdom,128,2.8442
537163,12/5/2010 13:21,17863,United Kingdom,276,1.4695
537176,12/5/2010 13:26,16411,United Kingdom,70,2.2786
537179,12/5/2010 13:29,13767,United Kingdom,284,3.4415
537192,12/5/2010 13:42,16402,United Kingdom,105,2.6272
537193,12/5/2010 13:49,15023,United Kingdom,232,3.5203
537194,12/5/2010 13:53,17402,United Kingdom,80,3.39
537195,12/5/2010 13:55,15311,United Kingdom,310,3.2345
537196,12/5/2010 13:55,15426,United Kingdom,159,2.9672
537197,12/5/2010 14:02,12647,Germany,80,5.9059
537198,12/5/2010 14:03,12647,Germany,11,12.375
537199,12/5/2010 14:06,15894,United Kingdom,115,1.9966
537200,12/5/2010 14:17,15867,United Kingdom,47,2.6676
537201,12/5/2010 14:19,12472,Germany,972,2.4001
537202,12/5/2010 14:25,14506,United Kingdom,112,2.801
537204,12/5/2010 14:45,15555,United Kingdom,293,0.8213
537205,12/5/2010 14:52,13034,United Kingdom,116,1.6827
537206,12/5/2010 15:02,15235,United Kingdom,25,3.9875
537207,12/5/2010 15:06,17402,United Kingdom,40,4.5639
537208,12/5/2010 15:12,15889,United Kingdom,149,2.9485
537209,12/5/2010 15:12,14606,United Kingdom,83,2.8455
537210,12/5/2010 15:15,15953,United Kingdom,101,2.5331
537211,12/5/2010 15:18,16143,United Kingdom,145,2.9656
